translation_id,attribute,local_count,other_count,log_odds_ratio,z_score
butler_1900,murky,0.0,6.0,-0.5376635019639986,-0.3697091082535613
butler_1900,queenly,0.0,6.0,-0.5376635019639986,-0.3697091082535613
butler_1900,reckless,0.0,6.0,-0.5376635019639986,-0.3697091082535613
butler_1900,servile,0.0,6.0,-0.5376635019639986,-0.3697091082535613
butler_1900,unwise,0.0,6.0,-0.5376635019639986,-0.3697091082535613
butler_1900,bitter,6.0,57.0,-0.1572310940642483,-0.3826998077322605
butler_1900,white,10.0,91.0,-0.14269785091328924,-0.44107737923814405
butler_1900,ruthless,0.0,7.0,-0.6776566041899486,-0.4689501151082519
butler_1900,red,3.0,34.0,-0.26395253321210976,-0.4742469844325793
butler_1900,joyful,1.0,17.0,-0.42994039133587414,-0.509948628906313
butler_1900,peaceful,1.0,17.0,-0.42994039133587414,-0.509948628906313
butler_1900,helpless,0.0,8.0,-0.7997183687718667,-0.5563469807998244
butler_1900,immense,0.0,8.0,-0.7997183687718667,-0.5563469807998244
butler_1900,trusty,0.0,8.0,-0.7997183687718667,-0.5563469807998244
butler_1900,blameless,1.0,18.0,-0.4845264059434715,-0.5762287437770807
butler_1900,dusky,0.0,9.0,-0.9078501726310915,-0.6344314806732653
butler_1900,thoughtful,0.0,9.0,-0.9078501726310915,-0.6344314806732653
butler_1900,friendly,3.0,38.0,-0.37216426578664397,-0.6725076525846023
butler_1900,huge,6.0,65.0,-0.2862281832462479,-0.701728244179896
butler_1900,heroic,0.0,10.0,-1.0048480555602586,-0.7050087980816483
butler_1900,kingly,0.0,11.0,-1.0927429537327056,-0.7694099664305761
butler_1900,unjust,1.0,22.0,-0.6763494576527478,-0.8114943825573483
butler_1900,princely,0.0,12.0,-1.1730566573303642,-0.8286438035663735
butler_1900,shrewd,0.0,12.0,-1.1730566573303642,-0.8286438035663735
butler_1900,cheerful,0.0,13.0,-1.2469589458448072,-0.8834926913253387
butler_1900,dauntless,0.0,13.0,-1.2469589458448072,-0.8834926913253387
butler_1900,free,10.0,107.0,-0.30284671162626964,-0.9444977701670739
butler_1900,mournful,0.0,15.0,-1.3790196407565647,-0.982389236884523
butler_1900,ruddy,0.0,15.0,-1.3790196407565647,-0.982389236884523
butler_1900,violent,0.0,15.0,-1.3790196407565647,-0.982389236884523
butler_1900,youthful,0.0,15.0,-1.3790196407565647,-0.982389236884523
butler_1900,shameless,2.0,36.0,-0.6501603288642501,-1.0060895405320127
butler_1900,warlike,0.0,16.0,-1.4385092108803716,-1.0273402985769837
butler_1900,stubborn,0.0,17.0,-1.49432830759124,-1.0697638947733368
butler_1900,guileful,0.0,18.0,-1.5468861378795697,-1.1099402563172853
butler_1900,virtuous,0.0,18.0,-1.5468861378795697,-1.1099402563172853
butler_1900,vast,1.0,29.0,-0.9404110511748884,-1.1409999570837497
butler_1900,wine-dark,0.0,19.0,-1.5965272202170562,-1.1481058779896285
butler_1900,impious,0.0,20.0,-1.6435443379742916,-1.184462130322832
butler_1900,radiant,0.0,20.0,-1.6435443379742916,-1.184462130322832
butler_1900,fierce,5.0,70.0,-0.5236017775450525,-1.194969046548944
butler_1900,wanton,0.0,22.0,-1.7306760837876451,-1.252414494609593
butler_1900,pious,0.0,23.0,-1.7711957517528854,-1.284290100863639
butler_1900,woeful,0.0,23.0,-1.7711957517528854,-1.284290100863639
butler_1900,faithful,3.0,54.0,-0.7138112994618551,-1.310711015092022
butler_1900,purple,4.0,64.0,-0.6330841714644064,-1.313472199851519
butler_1900,righteous,0.0,24.0,-1.809912215472088,-1.3149225482534825
butler_1900,boundless,0.0,27.0,-1.9166112457057274,-1.400307484120181
butler_1900,generous,0.0,27.0,-1.9166112457057274,-1.400307484120181
butler_1900,patient,1.0,39.0,-1.2226894901377081,-1.5005260508311407
butler_1900,base,1.0,41.0,-1.2701696447117765,-1.5618035558303294
butler_1900,enduring,0.0,34.0,-2.1231329084200903,-1.5703263330359076
butler_1900,sad,6.0,93.0,-0.637762294091778,-1.5905936895966644
butler_1900,brazen,0.0,35.0,-2.148848376692004,-1.592011599952879
butler_1900,lordly,2.0,54.0,-1.041214455923157,-1.637885962680587
butler_1900,prudent,0.0,41.0,-2.2880417251533114,-1.7117645311301815
butler_1900,rosy,0.0,47.0,-2.406411899531851,-1.8172512248431798
butler_1900,shining,1.0,53.0,-1.5127759975977382,-1.8791067188786814
butler_1900,sable,0.0,51.0,-2.476315707944221,-1.8814113411455173
butler_1900,high,27.0,303.0,-0.38294817788622604,-1.940383940385848
butler_1900,gray-eyed,1.0,62.0,-1.6598276701822376,-2.075406900177435
butler_1900,hospitable,1.0,62.0,-1.6598276701822376,-2.075406900177435
butler_1900,ancient,1.0,63.0,-1.6747693517227704,-2.0955476237996145
butler_1900,steadfast,0.0,75.0,-2.7957420782637765,-2.1979930629989344
butler_1900,bold,1.0,75.0,-1.836764275283847,-2.316552021757939
butler_1900,gentle,0.0,94.0,-2.973105154262285,-2.3968260199319062
butler_1900,evil,15.0,224.0,-0.6502692358027478,-2.505319155743129
butler_1900,black,11.0,192.0,-0.7911988887524632,-2.6418527911068885
